Year,Day,Hour,Minute,Total_IMF,BZ(GSM),Velocity,Proton_density,Proton_temperature,Flow_pressure,Ae_index,SYM_H,days
2006,346,0,0,7.68,1.23,685.9,2.55,471662.0,2.4,232,-12,346.0
2006,346,0,1,8.0,1.45,681.2,2.09,486860.0,1.94,194,-12,346.00069444444443
2006,346,0,2,7.66,1.25,680.6,2.29,508546.0,2.12,177,-12,346.00138888888887
2006,346,0,3,7.19,1.48,675.0,2.22,482515.0,2.02,196,-11,346.00208333333336
2006,346,0,4,7.35,1.87,,,,,252,-12,346.0027777777778
2006,346,0,5,8.0,1.9,670.1,2.34,456788.0,2.1,279,-12,346.00347222222223
2006,346,0,6,8.16,2.95,676.7,2.28,477894.0,2.09,228,-12,346.00416666666666
2006,346,0,7,7.69,3.11,675.8,2.2,429712.0,2.01,139,-12,346.0048611111111
2006,346,0,8,7.83,2.34,678.2,2.74,485744.0,2.52,147,-12,346.0055555555556
2006,346,0,9,7.89,2.57,674.0,2.37,452963.0,2.15,167,-12,346.00625
2006,346,0,10,7.91,2.52,673.1,2.29,446088.0,2.08,194,-12,346.00694444444446
2006,346,0,11,7.8,2.7,,,,,199,-12,346.0076388888889
2006,346,0,12,7.72,2.87,674.5,2.38,467363.0,2.17,169,-12,346.0083333333333
2006,346,0,13,7.76,2.09,665.8,2.67,453034.0,2.37,123,-12,346.00902777777776
2006,346,0,14,7.97,1.87,665.4,2.68,452373.0,2.37,116,-13,346.0097222222222
2006,346,0,15,8.14,1.39,,,,,114,-12,346.0104166666667
2006,346,0,16,8.21,1.84,659.6,2.33,398479.0,2.03,118,-12,346.0111111111111
2006,346,0,17,8.2,3.69,659.6,2.33,398479.0,2.03,127,-12,346.01180555555555
2006,346,0,18,8.07,2.31,685.1,2.3,435964.0,2.16,137,-13,346.0125
2006,346,0,19,8.08,2.77,683.3,2.18,422183.0,2.04,146,-13,346.0131944444444
2006,346,0,20,8.22,3.71,700.7,2.34,444854.0,2.3,166,-13,346.0138888888889
2006,346,0,21,8.27,3.97,678.1,2.35,422126.0,2.16,200,-13,346.0145833333333
2006,346,0,22,8.24,3.43,682.2,2.49,408258.0,2.32,210,-13,346.0152777777778
2006,346,0,23,8.18,3.85,691.6,2.19,387827.0,2.1,209,-13,346.0159722222222
2006,346,0,24,8.17,4.22,675.4,2.48,450859.0,2.26,178,-13,346.01666666666665
2006,346,0,25,8.12,3.97,674.6,2.32,432486.0,2.11,173,-12,346.0173611111111
2006,346,0,26,8.21,3.6,677.3,2.36,434031.0,2.17,177,-12,346.0180555555556
2006,346,0,27,8.31,2.61,,,,,180,-12,346.01875
2006,346,0,28,8.29,3.77,648.8,2.32,400395.0,1.95,161,-12,346.01944444444445
2006,346,0,29,8.07,5.34,655.1,2.51,395741.0,2.15,138,-12,346.0201388888889
2006,346,0,30,8.01,2.81,664.3,2.64,456706.0,2.33,128,-12,346.0208333333333
2006,346,0,31,8.01,-3.51,697.0,2.48,484623.0,2.41,129,-12,346.0215277777778
2006,346,0,32,8.19,-3.58,744.6,2.42,504073.0,2.68,132,-12,346.02222222222224
2006,346,0,33,8.14,-4.84,763.2,2.41,475766.0,2.81,151,-11,346.0229166666667
2006,346,0,34,8.16,-3.87,737.9,2.5,535053.0,2.72,171,-10,346.0236111111111
2006,346,0,35,8.11,-2.94,763.5,2.33,462405.0,2.72,140,-9,346.02430555555554
2006,346,0,36,8.24,-4.16,730.2,2.44,476783.0,2.6,93,-9,346.025
2006,346,0,37,8.21,-3.64,730.1,2.44,476783.0,2.6,81,-8,346.02569444444447
2006,346,0,38,8.11,-5.19,,,,,74,-8,346.0263888888889
2006,346,0,39,8.03,-4.76,747.9,2.44,460231.0,2.73,72,-8,346.02708333333334
2006,346,0,40,7.93,-0.18,734.4,2.18,432904.0,2.35,76,-8,346.02777777777777
2006,346,0,41,8.05,0.44,725.1,2.15,441469.0,2.26,90,-7,346.0284722222222
2006,346,0,42,8.26,2.6,680.5,2.2,393016.0,2.04,137,-7,346.02916666666664
2006,346,0,43,8.22,3.21,671.8,2.13,422149.0,1.92,197,-7,346.0298611111112
2006,346,0,44,8.19,4.15,676.4,2.01,419065.0,1.84,236,-7,346.0305555555556
2006,346,0,45,8.16,4.54,684.1,2.19,452986.0,2.05,276,-8,346.03125
2006,346,0,46,8.11,4.23,690.2,2.11,455533.0,2.01,247,-9,346.03194444444443
2006,346,0,47,8.17,4.62,695.9,2.16,470718.0,2.09,195,-8,346.03263888888887
2006,346,0,48,8.16,3.64,699.6,2.19,475937.0,2.14,191,-8,346.03333333333336
2006,346,0,49,8.13,2.95,698.7,2.27,449138.0,2.22,150,-8,346.0340277777778
